team_number,week,manager_name,player_key,player_id,first_name,last_name,full_name,roster_position,team_abbr,display_position,primary_position,injury_status
1,1,Tyler Till,449.p.40901,40901,Rome,Odunze,Rome Odunze,BN,Chi,WR,WR,
1,1,Tyler Till,449.p.31424,31424,Gus,Edwards,Gus Edwards,BN,LAC,RB,RB,
1,1,Tyler Till,449.p.28457,28457,Tyler,Lockett,Tyler Lockett,BN,Ten,WR,WR,
1,1,Tyler Till,449.p.34107,34107,Tyler,Allgeier,Tyler Allgeier,BN,Atl,RB,RB,
1,1,Tyler Till,449.p.32843,32843,Darnell,Mooney,Darnell Mooney,BN,Atl,WR,WR,Q
1,1,Tyler Till,449.p.32756,32756,Zack,Moss,Zack Moss,BN,Cin,RB,RB,
1,1,Tyler Till,449.p.40211,40211,Andrei,Iosivas,Andrei Iosivas,BN,Cin,WR,WR,
1,1,Tyler Till,449.p.100023,100023,Pittsburgh,,Pittsburgh,DEF,Pit,DEF,DEF,
1,1,Tyler Till,449.p.25881,25881,Greg,Zuerlein,Greg Zuerlein,K,NYJ,K,K,
1,1,Tyler Till,449.p.32696,32696,Jordan,Love,Jordan Love,QB,GB,QB,QB,
1,1,Tyler Till,449.p.40059,40059,Jahmyr,Gibbs,Jahmyr Gibbs,RB,Det,RB,RB,
1,1,Tyler Till,449.p.34112,34112,Jerome,Ford,Jerome Ford,RB,Cle,RB,RB,Q
1,1,Tyler Till,449.p.33393,33393,Ja'Marr,Chase,Ja'Marr Chase,W/R/T,Cin,WR,WR,
1,1,Tyler Till,449.p.30197,30197,Chris,Godwin,Chris Godwin,W/R/T,TB,WR,WR,Q
1,1,Tyler Till,449.p.33989,33989,Christian,Watson,Christian Watson,WR,GB,WR,WR,Q
1,1,Tyler Till,449.p.33394,33394,Jaylen,Waddle,Jaylen Waddle,WR,Mia,WR,WR,
2,1,Phil Cowart,449.p.29235,29235,Jared,Goff,Jared Goff,BN,Det,QB,QB,
2,1,Phil Cowart,449.p.31010,31010,Courtland,Sutton,Courtland Sutton,BN,Den,WR,WR,
2,1,Phil Cowart,449.p.30136,30136,Evan,Engram,Evan Engram,BN,Den,TE,W/R/T,Q
2,1,Phil Cowart,449.p.40914,40914,Ja'Lynn,Polk,Ja'Lynn Polk,BN,NE,WR,WR,Q
2,1,Phil Cowart,449.p.31019,31019,Dallas,Goedert,Dallas Goedert,BN,Phi,TE,W/R/T,
2,1,Phil Cowart,449.p.40129,40129,Jake,Moody,Jake Moody,BN,SF,K,K,
2,1,Phil Cowart,449.p.100034,100034,Houston,,Houston,BN,Hou,DEF,DEF,
2,1,Phil Cowart,449.p.100006,100006,Dallas,,Dallas,DEF,Dal,DEF,DEF,
2,1,Phil Cowart,449.p.30346,30346,Harrison,Butker,Harrison Butker,K,KC,K,K,
2,1,Phil Cowart,449.p.32671,32671,Joe,Burrow,Joe Burrow,QB,Cin,QB,QB,
2,1,Phil Cowart,449.p.30161,30161,Joe,Mixon,Joe Mixon,RB,Hou,RB,RB,
2,1,Phil Cowart,449.p.30295,30295,Aaron,Jones Sr.,Aaron Jones Sr.,RB,Min,RB,RB,
2,1,Phil Cowart,449.p.40048,40048,Dalton,Kincaid,Dalton Kincaid,W/R/T,Buf,TE,W/R/T,
2,1,Phil Cowart,449.p.40119,40119,Tyjae,Spears,Tyjae Spears,W/R/T,Ten,RB,RB,Q
2,1,Phil Cowart,449.p.32687,32687,CeeDee,Lamb,CeeDee Lamb,WR,Dal,WR,WR,
2,1,Phil Cowart,449.p.29399,29399,Tyreek,Hill,Tyreek Hill,WR,Mia,WR,WR,Q
3,1,Ryan Courtney,449.p.40041,40041,Jaxon,Smith-Njigba,Jaxon Smith-Njigba,BN,Sea,WR,WR,
3,1,Ryan Courtney,449.p.40196,40196,Chase,Brown,Chase Brown,BN,Cin,RB,RB,Q
3,1,Ryan Courtney,449.p.26650,26650,DeAndre,Hopkins,DeAndre Hopkins,BN,Bal,WR,WR,
3,1,Ryan Courtney,449.p.32725,32725,J.K.,Dobbins,J.K. Dobbins,BN,Den,RB,RB,
3,1,Ryan Courtney,449.p.34125,34125,Ty,Chandler,Ty Chandler,BN,Min,RB,RB,
3,1,Ryan Courtney,449.p.40980,40980,Ray,Davis,Ray Davis,BN,Buf,RB,RB,
3,1,Ryan Courtney,449.p.41010,41010,Jaylen,Wright,Jaylen Wright,BN,Mia,RB,RB,
3,1,Ryan Courtney,449.p.100005,100005,Cleveland,,Cleveland,DEF,Cle,DEF,DEF,
3,1,Ryan Courtney,449.p.26800,26800,Dustin,Hopkins,Dustin Hopkins,K,Cle,K,K,
3,1,Ryan Courtney,449.p.40030,40030,C.J.,Stroud,C.J. Stroud,QB,Hou,QB,QB,
3,1,Ryan Courtney,449.p.33413,33413,Travis,Etienne Jr.,Travis Etienne Jr.,RB,Jax,RB,RB,
3,1,Ryan Courtney,449.p.33996,33996,Kenneth,Walker III,Kenneth Walker III,RB,Sea,RB,RB,Q
3,1,Ryan Courtney,449.p.30996,30996,Calvin,Ridley,Calvin Ridley,W/R/T,Ten,WR,WR,
3,1,Ryan Courtney,449.p.27535,27535,Mike,Evans,Mike Evans,W/R/T,TB,WR,WR,
3,1,Ryan Courtney,449.p.40893,40893,Marvin,Harrison Jr.,Marvin Harrison Jr.,WR,Ari,WR,WR,
3,1,Ryan Courtney,449.p.40899,40899,Malik,Nabers,Malik Nabers,WR,NYG,WR,WR,
